"","FileName_1","FileName_2","FileName_3","FileName_4","FileName_5","FileName_6","FileName_7","FileName_8","m.cx","m.cy","m.majoraxis","m.eccentricity","m.theta","s.area","s.perimeter","s.radius.mean","s.radius.sd","s.radius.min","s.radius.max"
"23","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",819.960317460317,207.857142857143,24.8883764313683,0.838153040254086,-1.24090860002008,252,58,8.65730801726925,2.20525425125425,4.03197682268784,12.7258199056527
"24","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",609.965079365079,207.714285714286,29.3779214516941,0.868418324018339,0.417303014124868,315,70,9.58016798033858,2.94832602784267,3.09133086721758,14.5253192033492
"25","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",302.12,210.84,9.44360846215332,0.702114700739076,-0.234427947621055,50,21,3.54440803665775,0.56301888403522,2.33527615909319,4.35629708158646
"26","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",547.5,213.5,6.32455532033676,0,0,32,16,2.73249285210952,0.182983095313129,2.54950975679639,2.91547594742265
"27","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",688.822222222222,217.022222222222,12.4794534351771,0.654209387303322,1.30398166149689,90,29,4.89489515702606,0.793583946536752,3.01087999350936,6.14731943747433
"28","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",590.5,218,8.68243142126522,0.482341229036553,0,52,22,3.58578034329848,0.345618368850589,3.04138126514911,4.03112887414927
"29","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",479.608108108108,223.631756756757,29.8042155544083,0.88335975141676,0.0194446964883285,296,69,9.35880487677413,3.11615112398501,3.84191937258558,14.1264803087933
"30","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",808.105691056911,231.357723577236,16.6633389774963,0.813104070384763,-1.29009825926766,123,37,5.82088881939167,1.43179992136068,2.92004482789774,8.1878065017711
"31","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",824.491620111732,235.111731843575,18.3697298387605,0.701140192475458,1.38486470012786,179,47,7.07403366520207,1.37251811108075,3.68865241408839,9.44354937071156
"32","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",667.165680473373,239.059171597633,28.1129513074245,0.794699447647936,-0.680405270652918,338,73,10.0966781740596,2.65655368888627,4.09975993511993,14.8771159661683
"33","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",647.5,249.5,6.67618368316526,0.620173672944098,-0.785398163397448,28,14,2.59290160937007,0.250151014070241,2.12132034355964,2.91547594742265
"34","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",811,252,5.08967208225153,2.119870216965e-06,0,21,12,2.15737865166653,0.111283511807396,2,2.23606797749979
"35","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",663.188679245283,260.358490566038,18.5572637286371,0.904454740187638,-0.361324686987673,106,39,5.72126641436552,1.89245278554173,2.95150370082597,8.85313734009905
"36","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",701,263,5.08967208225153,0,0,21,12,2.15737865166653,0.111283511807396,2,2.23606797749979
"37","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",799.588873812754,284.667571234735,40.7939654967731,0.689624278906707,1.24029272566008,737,145,15.0143943773676,3.83761587537285,6.35875532806817,22.2860551036036
"38","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",498.45243902439,282.430487804878,41.7475847089111,0.624711494545198,-1.39052846224563,820,177,15.1563821722622,5.00753023888935,2.52327415183886,25.9075871249607
"39","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",722.975155279503,273.633540372671,18.8585670571096,0.80863844539848,1.3675917046651,161,44,6.82303135368428,1.43216567426472,4.5486920288753,9.59922625153191
"40","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",741.447470817121,274.805447470817,29.1179190366281,0.914743301168568,0.653412337126342,257,62,8.94438230615083,3.06134847834233,3.41208143042125,13.8574671734058
"41","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",703.982456140351,270.40350877193,9.1577912769346,0.500485036679808,0.226896306261594,57,22,3.8093840792976,0.370612016767563,2.76115319063407,4.34703280582004
"42","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",596.196078431373,276.627450980392,9.34562130778531,0.664246338540933,0.189512140955809,51,21,3.58666353937894,0.54897862900873,2.53098709827015,4.45893329932172
